,dec air heat pump,dec pellet boiler,dec ground heat pump
495,0.60207837,0.60207837,0.60207837
496,0.60625549,0.60625549,0.60625549
497,0.60642262,0.60642262,0.60642262
498,0.60197292,0.60197292,0.60197292
499,0.59108703,0.59108703,0.59108703
500,0.56127981,0.56127981,0.56127981
501,0.49659576,0.49659576,0.49659576
502,0.42338942,0.42338942,0.42338942
503,0.39930605,0.39930605,0.39930605
504,0.38000081,0.38000081,0.38000081
505,0.39748688,0.39748688,0.39748688
506,0.41947898,0.41947898,0.41947898
507,0.45687289,0.45687289,0.45687289
508,0.55418806,0.55418806,0.55418806
509,0.69003301,0.69003301,0.69003301
510,0.72353939,0.72353939,0.72353939
511,0.69552437,0.69552437,0.69552437
512,0.65378685,0.65378685,0.65378685
513,0.62754233,0.62754233,0.62754233
514,0.60643014,0.60643014,0.60643014
515,0.5643749,0.5643749,0.5643749
516,0.53640052,0.53640052,0.53640052
517,0.52840898,0.52840898,0.52840898
518,0.53356774,0.53356774,0.53356774
519,0.54928504,0.54928504,0.54928504
520,0.56742528,0.56742528,0.56742528
521,0.57199841,0.57199841,0.57199841
522,0.56125842,0.56125842,0.56125842
523,0.54934088,0.54934088,0.54934088
524,0.54313958,0.54313958,0.54313958
525,0.48172605,0.48172605,0.48172605
526,0.41393508,0.41393508,0.41393508
527,0.39497763,0.39497763,0.39497763
528,0.39068767,0.39068767,0.39068767
529,0.38873041,0.38873041,0.38873041
530,0.43326478,0.43326478,0.43326478
531,0.51504678,0.51504678,0.51504678
532,0.61122695,0.61122695,0.61122695
533,0.59619467,0.59619467,0.59619467
534,0.62617627,0.62617627,0.62617627
535,0.60780088,0.60780088,0.60780088
536,0.57808654,0.57808654,0.57808654
537,0.55292347,0.55292347,0.55292347
538,0.54112682,0.54112682,0.54112682
539,0.51482769,0.51482769,0.51482769
540,0.50203188,0.50203188,0.50203188
541,0.51029126,0.51029126,0.51029126
542,0.52084856,0.52084856,0.52084856
543,0.51812014,0.51812014,0.51812014
544,0.55140754,0.55140754,0.55140754
545,0.56230946,0.56230946,0.56230946
546,0.55573029,0.55573029,0.55573029
547,0.55552781,0.55552781,0.55552781
548,0.53930603,0.53930603,0.53930603
549,0.47575776,0.47575776,0.47575776
550,0.42778422,0.42778422,0.42778422
551,0.38723477,0.38723477,0.38723477
552,0.3966626,0.3966626,0.3966626
553,0.40875595,0.40875595,0.40875595
554,0.43926623,0.43926623,0.43926623
555,0.47842964,0.47842964,0.47842964
556,0.57730751,0.57730751,0.57730751
557,0.68928298,0.68928298,0.68928298
558,0.74186316,0.74186316,0.74186316
559,0.7174704,0.7174704,0.7174704
560,0.68638898,0.68638898,0.68638898
561,0.65697539,0.65697539,0.65697539
562,0.62167967,0.62167967,0.62167967
563,0.58999025,0.58999025,0.58999025
564,0.58020999,0.58020999,0.58020999
565,0.57182525,0.57182525,0.57182525
566,0.57604846,0.57604846,0.57604846
567,0.58000887,0.58000887,0.58000887
568,0.59638468,0.59638468,0.59638468
569,0.59851476,0.59851476,0.59851476
570,0.59104575,0.59104575,0.59104575
571,0.57112394,0.57112394,0.57112394
572,0.54637627,0.54637627,0.54637627
573,0.48167275,0.48167275,0.48167275
574,0.41523359,0.41523359,0.41523359
575,0.39112884,0.39112884,0.39112884
576,0.42281581,0.42281581,0.42281581
577,0.4355331,0.4355331,0.4355331
578,0.46218587,0.46218587,0.46218587
579,0.5033932,0.5033932,0.5033932
580,0.60524704,0.60524704,0.60524704
581,0.72515,0.72515,0.72515
582,0.79028661,0.79028661,0.79028661
583,0.76463147,0.76463147,0.76463147
584,0.72974298,0.72974298,0.72974298
585,0.69442118,0.69442118,0.69442118
586,0.65618668,0.65618668,0.65618668
587,0.62721419,0.62721419,0.62721419
588,0.61146119,0.61146119,0.61146119
589,0.60263724,0.60263724,0.60263724
590,0.60817202,0.60817202,0.60817202
591,0.61561263,0.61561263,0.61561263
592,0.6186272,0.6186272,0.6186272
593,0.61429652,0.61429652,0.61429652
594,0.60642406,0.60642406,0.60642406
595,0.60074621,0.60074621,0.60074621
596,0.56705841,0.56705841,0.56705841
597,0.50007844,0.50007844,0.50007844
598,0.43240518,0.43240518,0.43240518
599,0.41149066,0.41149066,0.41149066
600,0.42512736,0.42512736,0.42512736
601,0.4379181,0.4379181,0.4379181
602,0.46468634,0.46468634,0.46468634
603,0.50610706,0.50610706,0.50610706
604,0.60848919,0.60848919,0.60848919
605,0.72926046,0.72926046,0.72926046
606,0.79501059,0.79501059,0.79501059
607,0.76913873,0.76913873,0.76913873
608,0.73403536,0.73403536,0.73403536
609,0.69852443,0.69852443,0.69852443
610,0.66008303,0.66008303,0.66008303
611,0.63094497,0.63094497,0.63094497
612,0.61510708,0.61510708,0.61510708
613,0.60623859,0.60623859,0.60623859
614,0.61181606,0.61181606,0.61181606
615,0.61931407,0.61931407,0.61931407
616,0.62241885,0.62241885,0.62241885
617,0.61813279,0.61813279,0.61813279
618,0.61024742,0.61024742,0.61024742
619,0.60454581,0.60454581,0.60454581
620,0.57068036,0.57068036,0.57068036
621,0.50329001,0.50329001,0.50329001
622,0.43502195,0.43502195,0.43502195
623,0.41382156,0.41382156,0.41382156
624,0.4107082,0.4107082,0.4107082
625,0.42306516,0.42306516,0.42306516
626,0.44894941,0.44894941,0.44894941
627,0.48897645,0.48897645,0.48897645
628,0.58791328,0.58791328,0.58791328
629,0.70443472,0.70443472,0.70443472
630,0.76771045,0.76771045,0.76771045
631,0.74278524,0.74278524,0.74278524
632,0.70889711,0.70889711,0.70889711
633,0.67459016,0.67459016,0.67459016
634,0.63745359,0.63745359,0.63745359
635,0.60930937,0.60930937,0.60930937
636,0.59400918,0.59400918,0.59400918
637,0.58543885,0.58543885,0.58543885
638,0.59081534,0.59081534,0.59081534
639,0.59804383,0.59804383,0.59804383
640,0.60098289,0.60098289,0.60098289
641,0.59678683,0.59678683,0.59678683
642,0.58914712,0.58914712,0.58914712
643,0.5836335,0.5836335,0.5836335
644,0.55091355,0.55091355,0.55091355
645,0.48584812,0.48584812,0.48584812
646,0.42008865,0.42008865,0.42008865
647,0.39973046,0.39973046,0.39973046
648,0.37263918,0.37263918,0.37263918
649,0.38595725,0.38595725,0.38595725
650,0.40093873,0.40093873,0.40093873
651,0.43576396,0.43576396,0.43576396
652,0.52664456,0.52664456,0.52664456
653,0.65468562,0.65468562,0.65468562
654,0.71528307,0.71528307,0.71528307
655,0.68930333,0.68930333,0.68930333
656,0.65617297,0.65617297,0.65617297
657,0.62659977,0.62659977,0.62659977
658,0.59247987,0.59247987,0.59247987
659,0.56271126,0.56271126,0.56271126
660,0.5467145,0.5467145,0.5467145
661,0.53787644,0.53787644,0.53787644
662,0.54187138,0.54187138,0.54187138
663,0.54854959,0.54854959,0.54854959
664,0.55239328,0.55239328,0.55239328
665,0.55258018,0.55258018,0.55258018
666,0.54854933,0.54854933,0.54854933
667,0.53864677,0.53864677,0.53864677
668,0.51150709,0.51150709,0.51150709
669,0.45258073,0.45258073,0.45258073
670,0.38581904,0.38581904,0.38581904
671,0.36374306,0.36374306,0.36374306
672,0.31271234,0.31271234,0.31271234
673,0.32710833,0.32710833,0.32710833
674,0.3451671,0.3451671,0.3451671
675,0.37593081,0.37593081,0.37593081
676,0.45598113,0.45598113,0.45598113
677,0.56808605,0.56808605,0.56808605
678,0.59588476,0.59588476,0.59588476
679,0.57277891,0.57277891,0.57277891
680,0.53845507,0.53845507,0.53845507
681,0.51686327,0.51686327,0.51686327
682,0.49947095,0.49947095,0.49947095
683,0.46489535,0.46489535,0.46489535
684,0.44192226,0.44192226,0.44192226
685,0.43535298,0.43535298,0.43535298
686,0.43960523,0.43960523,0.43960523
687,0.45252832,0.45252832,0.45252832
688,0.46751099,0.46751099,0.46751099
689,0.47134398,0.47134398,0.47134398
690,0.46257102,0.46257102,0.46257102
