,heat demand
1442,73.0695432
1443,79.5827453
1444,95.6818521
1445,114.6758
1446,125.014496
1447,120.946087
1448,115.426398
1449,109.842714
1450,103.798208
1451,99.2163105
1452,96.7259992
1453,95.3315355
1454,96.2085544
1455,97.3876135
1456,97.876449
1457,97.203109
1458,95.9636334
1459,95.0671863
1460,89.7422269
1461,79.1452697
1462,68.4091834
1463,65.0728437
1464,65.5314126
1465,67.5030056
1466,71.6330907
1467,78.0196957
1468,93.8057791
1469,112.396941
1470,122.492933
1471,118.51601
1472,113.108907
1473,107.634948
1474,101.709507
1475,97.2189152
1476,94.7776393
1477,93.4101712
1478,94.268024
1479,95.4213653
1480,95.8901706
1481,95.2205201
1482,94.0014558
1483,93.1216975
1484,87.9009582
1485,77.519357
1486,67.027296
1487,63.7795433
1488,65.5204989
1489,67.8604582
1490,70.4962725
1491,76.6195988
1492,92.6000153
1493,115.085146
1494,125.732958
1495,121.168397
1496,115.342378
1497,110.140957
1498,104.13988
1499,98.9056729
1500,96.0915475
1501,94.5367296
1502,95.2385926
1503,96.4119776
1504,97.0805747
1505,97.1070638
1506,96.3943159
1507,94.6510063
1508,89.8777567
1509,79.5196815
1510,67.7974006
1511,63.9420912
1512,62.4238347
1513,65.2959559
1514,68.9093956
1515,75.0522224
1516,91.0387085
1517,113.347262
1518,118.850454
1519,114.248618
1520,107.391392
1521,103.079817
1522,99.6118008
1523,92.7026492
1524,88.1061909
1525,86.793237
1526,87.6407083
1527,90.2230051
1528,93.2021064
1529,93.952148
1530,92.1864648
1531,90.2281133
1532,89.2101127
1533,79.1219163
1534,67.9887601
1535,64.8815734
1536,71.1551613
1537,71.2317833
1538,76.4425978
1539,82.8502116
1540,103.190131
1541,103.342863
1542,110.038389
1543,106.09288
1544,101.222139
1545,97.7274747
1546,97.4024932
1547,92.3181348
1548,90.8332423
1549,89.203551
1550,91.3607082
1551,92.1783154
1552,96.2445821
1553,95.6457263
1554,94.982064
1555,93.7274818
1556,91.7191263
1557,82.6880629
1558,72.579923
1559,69.4520318
1560,73.1867064
1561,74.7228728
1562,78.7181582
1563,83.4542317
1564,101.351053
1565,119.744358
1566,130.927902
1567,127.081843
1568,122.778823
1569,116.334885
1570,111.05939
1571,107.106717
1572,104.362924
1573,101.454353
